fecha,empresa,linea,tipo_transporte,provincia,municipio,cantidad
2024-01-15,TRANSPORTES SUR-NOR C.I.S.A.,BSAS_LINEA_015,COLECTIVO,JN,SD,52925
2024-01-15,LINEA 17 S.A.,BSAS_LINEA_017,COLECTIVO,JN,SD,35436
2024-01-15,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,BSAS_LINEA_019,COLECTIVO,JN,SD,17172
2024-01-15,TRANSPORTE LARRAZABAL C.I.S.A.,BSAS_LINEA_020,COLECTIVO,JN,SD,12985
2024-01-15,EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A,BSAS_LINEA_021,COLECTIVO,JN,SD,58865
2024-01-15,LINEA 22 S.A.,BSAS_LINEA_022,COLECTIVO,JN,SD,17450
2024-01-15,EMP.TRANSP.AUTOM.DE PASAJEROS S.A.C.I.F.,BSAS_LINEA_024,COLECTIVO,JN,SD,32490
2024-01-15,17 DE AGOSTO S.A.,BSAS_LINEA_026,COLECTIVO,JN,SD,23693
2024-01-15,EMP.DE TRANSP. PEDRO DE MENDOZA C.I.S.A.,BSAS_LINEA_029,COLECTIVO,JN,SD,33135
2024-01-15,EL PUENTE S.A.T.,BSAS_LINEA_032,COLECTIVO,JN,SD,10186
2024-01-15,JUAN B. JUSTO S.A.T.C.I.,BSAS_LINEA_034,COLECTIVO,JN,SD,40446
2024-01-15,4 DE SEPTIEMBRE S.A.T.C.P.,BSAS_LINEA_037,COLECTIVO,JN,SD,36013
2024-01-15,TRANSPORTES SANTA FE S.A.C.I.,BSAS_LINEA_039,COLECTIVO,JN,SD,51923
2024-01-15,AZUL S.A. DE TRANSPORTE AUTOMOTOR,BSAS_LINEA_041,COLECTIVO,JN,SD,33525
2024-01-15,MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.,BSAS_LINEA_045,COLECTIVO,JN,SD,28487
2024-01-15,UNION TRANSPORTISTAS DE EMPRESAS SA,BSAS_LINEA_046,COLECTIVO,JN,SD,23270
2024-01-15,LINEA DE MICROOMNIBUS 47 S.A.T.C.F.I.,BSAS_LINEA_047,COLECTIVO,JN,SD,19013
2024-01-15,BUENOS AIRES BUS SOCIEDAD ANONIMA,BSAS_LINEA_049,COLECTIVO,JN,SD,11407
2024-01-15,SAN VICENTE S.A. DE TRANSPORTES,BSAS_LINEA_051,COLECTIVO,JN,SD,25504
2024-01-15,LINEA 213 S.A. DE TRANSPORTE,BSAS_LINEA_053,COLECTIVO,JN,SD,42598
2024-01-15,ALMAFUERTE S.A.T.A.C.I.,BSAS_LINEA_055,COLECTIVO,JN,SD,25104
2024-01-15,TRANSPORTES LOPE DE VEGA S.A.C.I.,BSAS_LINEA_056,COLECTIVO,JN,SD,15505
2024-01-15,TRANSPORTES ATLANTIDA S.A.C.,BSAS_LINEA_057,COLECTIVO,JN,SD,46142
2024-01-15,MICROOMNIBUS CIUDAD DE BS.AS. S.A.T.C.I,BSAS_LINEA_059,COLECTIVO,JN,SD,67653
2024-01-15,MICRO OMNIBUS NORTE S.A.,BSAS_LINEA_060,COLECTIVO,JN,SD,95169
2024-01-15,LA CENTRAL DE VICENTE LOPEZ S.A.,BSAS_LINEA_061,COLECTIVO,JN,SD,8869
2024-01-15,LA CENTRAL DE VICENTE LOPEZ S.A.,BSAS_LINEA_062,COLECTIVO,JN,SD,8772
2024-01-15,BERNARDINO RIVADAVIA S.A.T.A.,BSAS_LINEA_063,COLECTIVO,JN,SD,25119
2024-01-15,VUELTA DE ROCHA S.A.T.C.I.,BSAS_LINEA_064,COLECTIVO,JN,SD,25061
2024-01-15,LA NUEVA METROPOL S.A.,BSAS_LINEA_065,COLECTIVO,JN,SD,22353
2024-01-15,TRANSPORTES DEL TEJAR S.A.,BSAS_LINEA_067,COLECTIVO,JN,SD,33141
2024-01-15,TRANSPORTES SESENTA Y OCHO S.R.L.,BSAS_LINEA_068,COLECTIVO,JN,SD,49789
2024-01-15,TRANSPORTES 270 S.A.,BSAS_LINEA_070,COLECTIVO,JN,SD,21277
2024-01-15,LINEA 71 S.A.,BSAS_LINEA_071,COLECTIVO,JN,SD,36854
2024-01-15,SAN VICENTE S.A. DE TRANSPORTES,BSAS_LINEA_074,COLECTIVO,JN,SD,7255
2024-01-15,EL PUENTE S.A.T.,BSAS_LINEA_075,COLECTIVO,JN,SD,8755
2024-01-15,LOS CONSTITUYENTES S.A.T.,BSAS_LINEA_078,COLECTIVO,JN,SD,27121
2024-01-15,SAN VICENTE S.A. DE TRANSPORTES,BSAS_LINEA_079,COLECTIVO,JN,SD,17425
2024-01-15,TRANSPORTES NUEVA CHICAGO C.I.S.A.,BSAS_LINEA_080,COLECTIVO,JN,SD,35948
2024-01-15,GENERAL TOMAS GUIDO S.A.C.I.F.,BSAS_LINEA_084,COLECTIVO,JN,SD,16208
2024-01-15,SOCIEDAD ANONIMA EXPRESO SUDOESTE,BSAS_LINEA_085,COLECTIVO,JN,SD,40316
2024-01-15,D.U.V.I. SOCIEDAD ANONIMA,BSAS_LINEA_086,COLECTIVO,JN,SD,14650
2024-01-15,LOS CONSTITUYENTES S.A.T.,BSAS_LINEA_087,COLECTIVO,JN,SD,25318
2024-01-15,LINEA EXPRESO LINIERS S.A.I.Y C.,BSAS_LINEA_088,COLECTIVO,JN,SD,23412
2024-01-15,M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR,BSAS_LINEA_090,COLECTIVO,JN,SD,9377
2024-01-15,TRANSPORTES LOPE DE VEGA S.A.C.I.,BSAS_LINEA_091,COLECTIVO,JN,SD,24296
2024-01-15,EMP.DE TRANSP.MICROOMN.SAENZ PEÑA S.R.L.,BSAS_LINEA_092,COLECTIVO,JN,SD,40532
2024-01-15,TRANSPORTES 1º SEPTIEMBRE S.A.,BSAS_LINEA_093,COLECTIVO,JN,SD,15654
2024-01-15,EMPRESA ANTARTIDA ARGENTINA S.A.T.,BSAS_LINEA_095,COLECTIVO,JN,SD,18624
2024-01-15,TRANSPORTE IDEAL SAN JUSTO S.A.,BSAS_LINEA_096,COLECTIVO,JN,SD,39743
2024-01-15,BUS DEL OESTE S.A.,BSAS_LINEA_097,COLECTIVO,JN,SD,12776
2024-01-15,EXPRESO QUILMES S.A.,BSAS_LINEA_098,COLECTIVO,JN,SD,56707
2024-01-15,TRANSPORTES AUTOMOTORES RIACHUELO S.A.,BSAS_LINEA_100,COLECTIVO,JN,SD,27874
2024-01-15,TRANSP. SGTO. CABRAL,BSAS_LINEA_102,COLECTIVO,JN,SD,18992
2024-01-15,TRANSPORTES QUIRNO COSTA S.A.C.I.,BSAS_LINEA_103,COLECTIVO,JN,SD,20938
2024-01-15,EMPRESA DE TRANSPORTES AMERICA S.A.C.I.,BSAS_LINEA_105,COLECTIVO,JN,SD,27305
2024-01-15,COLECTIVEROS UNIDOS S.A.,BSAS_LINEA_106,COLECTIVO,JN,SD,29429
2024-01-15,EMPRESA DE TRANSP. TTE. GRAL. ROCA S.A,BSAS_LINEA_108,COLECTIVO,JN,SD,15443
2024-01-15,TRANSPORTE NUEVE DE JULIO SAC.,BSAS_LINEA_109,COLECTIVO,JN,SD,21413
2024-01-15,GENERAL PUEYRREDON S.A.T.C.I.,BSAS_LINEA_110,COLECTIVO,JN,SD,27051
2024-01-15,LOS CONSTITUYENTES S.A.T.,BSAS_LINEA_111,COLECTIVO,JN,SD,22169
2024-01-15,BERNARDINO RIVADAVIA S.A.T.A.,BSAS_LINEA_113,COLECTIVO,JN,SD,28498
2024-01-15,LA CENTRAL DE VICENTE LOPEZ S.A.,BSAS_LINEA_114,COLECTIVO,JN,SD,20261
2024-01-15,TRANSPORTES AUTOMOTORES RIACHUELO S.A.,BSAS_LINEA_115,COLECTIVO,JN,SD,18782
2024-01-15,TRANSPORTE LARRAZABAL C.I.S.A.,BSAS_LINEA_117,COLECTIVO,JN,SD,29411
2024-01-15,MICROOMNIBUS BARRANCAS DE BELGRANO S.A.,BSAS_LINEA_118,COLECTIVO,JN,SD,24865
2024-01-15,TRANSPORTES AUTOMOTORES CALLAO S.A.,BSAS_LINEA_124,COLECTIVO,JN,SD,21323
2024-01-15,CARDENAS S.A. EMPRESA DE TRANSPORTES,BSAS_LINEA_126,COLECTIVO,JN,SD,33863
2024-01-15,LOS CONSTITUYENTES S.A.T.,BSAS_LINEA_127,COLECTIVO,JN,SD,19833
2024-01-15,EL PUENTE S.A.T.,BSAS_LINEA_128,COLECTIVO,JN,SD,19345
2024-01-15,LA CENTRAL DE VICENTE LOPEZ S.A.,BSAS_LINEA_129,COLECTIVO,JN,SD,28849
2024-01-15,TRANSPORTES AVENIDA BERNARDO ADER S.A.,BSAS_LINEA_130,COLECTIVO,JN,SD,36637
2024-01-15,NUEVOS RUMBOS S.A.T.A.C.I.F.I.,BSAS_LINEA_132,COLECTIVO,JN,SD,46735
2024-01-15,ERSA URBANO SA,BSAS_LINEA_133,COLECTIVO,JN,SD,21904
2024-01-15,TRANSPORTES AUTOMOTORES RIACHUELO S.A.,BSAS_LINEA_134,COLECTIVO,JN,SD,23098
2024-01-15,TRANSPORTES LOPE DE VEGA S.A.C.I.,BSAS_LINEA_135,COLECTIVO,JN,SD,22559
2024-01-15,SARGENTO CABRAL S.A.DE TRANSPORTE,BSAS_LINEA_136,COLECTIVO,JN,SD,17159
2024-01-15,ERSA URBANO SA,BSAS_LINEA_140,COLECTIVO,JN,SD,19644
2024-01-15,LA CENTRAL DE VICENTE LOPEZ S.A.,BSAS_LINEA_143,COLECTIVO,JN,SD,14218
2024-01-15,ROCARAZA S.A.,BSAS_LINEA_146,COLECTIVO,JN,SD,24933
2024-01-15,EL NUEVO HALCON S.A.,BSAS_LINEA_148,COLECTIVO,JN,SD,57482
2024-01-15,NUDO S.A.,BSAS_LINEA_150,COLECTIVO,JN,SD,20354
2024-01-15,M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR,BSAS_LINEA_151,COLECTIVO,JN,SD,24542
2024-01-15,EMPRESA TANDILENSE S.A.C.I.F.I.Y DE S.,BSAS_LINEA_152,COLECTIVO,JN,SD,73580
2024-01-15,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,BSAS_LINEA_153,COLECTIVO,JN,SD,9399
2024-01-15,MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.,BSAS_LINEA_154,COLECTIVO,JN,SD,4335
2024-01-15,EL PUENTE S.A.T.,BSAS_LINEA_158,COLECTIVO,JN,SD,15974
2024-01-15,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,BSAS_LINEA_159,COLECTIVO,JN,SD,55830
2024-01-15,MICRO OMNIBUS SUR S.A.C.,BSAS_LINEA_160,COLECTIVO,JN,SD,40230
2024-01-15,TRANSPORTE LARRAZABAL C.I.S.A.,BSAS_LINEA_161,COLECTIVO,JN,SD,39730
2024-01-15,SARGENTO CABRAL S.A.DE TRANSPORTE,BSAS_LINEA_163,COLECTIVO,JN,SD,7923
2024-01-15,EMPRESA LINEA 216 S.A.T.,BSAS_LINEA_166,COLECTIVO,JN,SD,26320
2024-01-15,EXPRESO SAN ISIDRO S.A.T.C.I.F.I.,BSAS_LINEA_168,COLECTIVO,JN,SD,34463
2024-01-15,TRANSPORTE ESCALADA S.A.T.,BSAS_LINEA_169,COLECTIVO,JN,SD,23065
2024-01-15,LA CABAÑA S.A.,BSAS_LINEA_172,COLECTIVO,JN,SD,15003
2024-01-15,LA CABAÑA S.A.,BSAS_LINEA_174,COLECTIVO,JN,SD,21626
2024-01-15,EXPRESO GENERAL SARMIENTO S.A.,BSAS_LINEA_176,COLECTIVO,JN,SD,60965
2024-01-15,SAN VICENTE S.A. DE TRANSPORTES,BSAS_LINEA_177,COLECTIVO,JN,SD,19354
2024-01-15,COMPAÑIA MICROOMNIBUS LA COLORADA SACI,BSAS_LINEA_178,COLECTIVO,JN,SD,35965
2024-01-15,GRUPO LINEA 179 S.A.,BSAS_LINEA_179,COLECTIVO,JN,SD,11044
2024-01-15,LA VECINAL DE MATANZA SACI. DE MICROOMNIBUS,BSAS_LINEA_180,COLECTIVO,JN,SD,47699
2024-01-15,TTES.AUTOMOTORES DE PASAJEROS SIGLO XXI SA,BSAS_LINEA_181,COLECTIVO,JN,SD,19740
2024-01-15,SARGENTO CABRAL S.A.DE TRANSPORTE,BSAS_LINEA_182,COLECTIVO,JN,SD,31890
2024-01-15,TRANSPORTE IDEAL SAN JUSTO S.A.,BSAS_LINEA_185,COLECTIVO,JN,SD,10243
2024-01-15,TRANSPORTE LARRAZABAL C.I.S.A.,BSAS_LINEA_188,COLECTIVO,JN,SD,24454
2024-01-15,D.U.V.I. SOCIEDAD ANONIMA,BSAS_LINEA_193,COLECTIVO,JN,SD,5331
2024-01-15,LA NUEVA METROPOL S.A.,BSAS_LINEA_194,COLECTIVO,JN,SD,21325
2024-01-15,LA NUEVA METROPOL S.A.,BSAS_LINEA_195,COLECTIVO,JN,SD,14042
2024-01-15,EMPRESA DE TRANSPORTE DEL SUR SRL,BSAS_LINEA_200,COLECTIVO,BUENOS AIRES,SN,1171
2024-01-15,TRANSPORTE LA UNION SA,BSAS_LINEA_202,COLECTIVO,BUENOS AIRES,SN,25663
2024-01-15,AZUL S.A. DE TRANSPORTE AUTOMOTOR,BSAS_LINEA_203,COLECTIVO,BUENOS AIRES,SN,104026
2024-01-15,MICRO OMNIBUS TIGRE S.A.,BSAS_LINEA_204,COLECTIVO,BUENOS AIRES,SN,10500
2024-01-15,LINEA SESENTA SA,BSAS_LINEA_204B,COLECTIVO,BUENOS AIRES,SN,8885
2024-01-15,TRANSPORTE IDEAL SAN JUSTO S.A.,BSAS_LINEA_205,COLECTIVO,BUENOS AIRES,SN,8333
2024-01-15,UNION PLATENSE SRL,BSAS_LINEA_214,COLECTIVO,BUENOS AIRES,SN,14459
2024-01-15,EMPRESA NUEVE DE JULIO S.A.T.,BSAS_LINEA_215,COLECTIVO,BUENOS AIRES,SN,4817
2024-01-15,ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I,BSAS_LINEA_218,COLECTIVO,BUENOS AIRES,SN,24601
2024-01-15,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,BSAS_LINEA_219,COLECTIVO,BUENOS AIRES,SN,20234
2024-01-15,EXPRESO ESTEBAN ECHEVERRIA S.R.L.,BSAS_LINEA_222,COLECTIVO,BUENOS AIRES,SN,4829
2024-01-15,EMPRESA NUEVE DE JULIO S.A.T.,BSAS_LINEA_225,COLECTIVO,BUENOS AIRES,SN,833
2024-01-15,LA NUEVA METROPOL S.A.,BSAS_LINEA_228A,COLECTIVO,BUENOS AIRES,SN,1175
2024-01-15,LINEA SESENTA SA,BSAS_LINEA_228B,COLECTIVO,BUENOS AIRES,SN,5722
2024-01-15,MICRO OMNIBUS TIGRE S.A.,BSAS_LINEA_228C,COLECTIVO,BUENOS AIRES,SN,5947
2024-01-15,MICRO OMNIBUS TIGRE S.A.,BSAS_LINEA_228E,COLECTIVO,BUENOS AIRES,SN,7884
2024-01-15,LA CENTRAL DE ESCOBAR SA,BSAS_LINEA_228F,COLECTIVO,BUENOS AIRES,SN,12641
2024-01-15,EMPRESA LINEA 216 S.A.T.,BSAS_LINEA_236,COLECTIVO,BUENOS AIRES,SN,68509
2024-01-15,COMPAÑIA ISLEÑA S.R.L.,BSAS_LINEA_237A,COLECTIVO,BUENOS AIRES,SN,38272
2024-01-15,TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.,BSAS_LINEA_238,COLECTIVO,BUENOS AIRES,SN,19904
2024-01-15,COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278,BSAS_LINEA_239A,COLECTIVO,BUENOS AIRES,SN,14389
2024-01-15,EXPRESO VILLA GALICIA  SAN JOSE S.A.,BSAS_LINEA_239B,COLECTIVO,BUENOS AIRES,SN,13121
2024-01-15,LA CABAÑA S.A.,BSAS_LINEA_242,COLECTIVO,BUENOS AIRES,SN,60539
2024-01-15,EMPRESA DEL OESTE SAT,BSAS_LINEA_244,COLECTIVO,BUENOS AIRES,SN,13043
2024-01-15,EMPRESA MONTE GRANDE S.A. LINEA 501,BSAS_LINEA_245,COLECTIVO,BUENOS AIRES,SN,5313
2024-01-15,EXPRESO NUEVE DE JULIO S.A.,BSAS_LINEA_247,COLECTIVO,BUENOS AIRES,SN,36321
2024-01-15,GENERAL TOMAS GUIDO S.A.C.I.F.,BSAS_LINEA_25,COLECTIVO,JN,SD,14477
2024-01-15,TRANSPORTE JOSE HERNANDEZ S.A.C.I.,BSAS_LINEA_252,COLECTIVO,BUENOS AIRES,SN,15411
2024-01-15,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,BSAS_LINEA_253,COLECTIVO,BUENOS AIRES,SN,1638
2024-01-15,TRANSPORTE 11 DE JUNIO S.R.L.,BSAS_LINEA_256,COLECTIVO,BUENOS AIRES,SN,912
2024-01-15,EXPRESO VILLA NUEVA S.A.,BSAS_LINEA_257,COLECTIVO,BUENOS AIRES,SN,25220
2024-01-15,EXPRESO VILLA GALICIA  SAN JOSE S.A.,BSAS_LINEA_263A,COLECTIVO,BUENOS AIRES,SN,10013
2024-01-15,SAN VICENTE S.A. DE TRANSPORTES,BSAS_LINEA_263B,COLECTIVO,BUENOS AIRES,SN,9727
2024-01-15,EMPRESA CIUDAD DE SAN FERNANDO SA,BSAS_LINEA_264,COLECTIVO,BUENOS AIRES,SN,12207
2024-01-15,EXPRESO VILLA GALICIA  SAN JOSE S.A.,BSAS_LINEA_266,COLECTIVO,BUENOS AIRES,SN,43704
2024-01-15,EMPRESA LINEA 216 S.A.T.,BSAS_LINEA_269,COLECTIVO,BUENOS AIRES,SN,43262
2024-01-15,GENERAL TOMAS GUIDO S.A.C.I.F.,BSAS_LINEA_271,COLECTIVO,BUENOS AIRES,SN,23968
2024-01-15,UNION PLATENSE SRL,BSAS_LINEA_273,COLECTIVO,BUENOS AIRES,SN,29765
2024-01-15,FUERTE BARRAGAN S.A.T.I.C.I.,BSAS_LINEA_275,COLECTIVO,BUENOS AIRES,SN,23068
2024-01-15,COMPAÑIA ISLEÑA S.R.L.,BSAS_LINEA_276,COLECTIVO,BUENOS AIRES,SN,33645
2024-01-15,CIA LA PAZ AMADOR MOURE SACIFIYA,BSAS_LINEA_277,COLECTIVO,BUENOS AIRES,SN,5495
2024-01-15,COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278,BSAS_LINEA_278,COLECTIVO,BUENOS AIRES,SN,37767
2024-01-15,COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278,BSAS_LINEA_281,COLECTIVO,BUENOS AIRES,SN,16062
2024-01-15,CIA ANDRADE EMPRESA DE TRANSPORTE DE PASAJEROS SRL,BSAS_LINEA_283,COLECTIVO,BUENOS AIRES,SN,25643
2024-01-15,ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I,BSAS_LINEA_284,COLECTIVO,BUENOS AIRES,SN,5549
2024-01-15,TRANSPORTES LA PERLITA S.A. ,BSAS_LINEA_288,COLECTIVO,BUENOS AIRES,SN,9337
2024-01-15,COMPAÑIA NOROESTE S.A.T.,BSAS_LINEA_289,COLECTIVO,BUENOS AIRES,SN,13897
2024-01-15,LA CENTRAL DE ESCOBAR SA,BSAS_LINEA_291,COLECTIVO,BUENOS AIRES,SN,24456
2024-01-15,EXPRESO VILLA GALICIA  SAN JOSE S.A.,BSAS_LINEA_293A,COLECTIVO,BUENOS AIRES,SN,13556
2024-01-15,COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278,BSAS_LINEA_293B,COLECTIVO,BUENOS AIRES,SN,7617
2024-01-15,MICRO OMNIBUS O´HIGGINS S.A.T.,BSAS_LINEA_295,COLECTIVO,BUENOS AIRES,SN,15935
2024-01-15,TRANSPORTES UNIDOS DE MERLO S.A.C.I.I.,BSAS_LINEA_297,COLECTIVO,BUENOS AIRES,SN,11641
2024-01-15,LA CABAÑA S.A.,BSAS_LINEA_298,COLECTIVO,BUENOS AIRES,SN,25009
2024-01-15,GENERAL TOMAS GUIDO S.A.C.I.F.,BSAS_LINEA_299,COLECTIVO,BUENOS AIRES,SN,15816
2024-01-15,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,BSAS_LINEA_300,COLECTIVO,BUENOS AIRES,SN,13074
2024-01-15,EMPRESA DEL OESTE SAT,BSAS_LINEA_303,COLECTIVO,BUENOS AIRES,SN,21358
2024-01-15,COMPAÑIA NOROESTE S.A.T.,BSAS_LINEA_304,COLECTIVO,BUENOS AIRES,SN,28745
2024-01-15,EXPRESO ESTEBAN ECHEVERRIA S.R.L.,BSAS_LINEA_306,COLECTIVO,BUENOS AIRES,SN,47644
2024-01-15,EMPRESA LINEA SIETE SAT,BSAS_LINEA_307,COLECTIVO,BUENOS AIRES,SN,28674
2024-01-15,ROCARAZA S.A.,BSAS_LINEA_31,COLECTIVO,JN,SD,35853
2024-01-15,COMPAÑIA ISLEÑA S.R.L.,BSAS_LINEA_310,COLECTIVO,BUENOS AIRES,SN,3519
2024-01-15,TRANSPORTES LA PERLITA S.A. ,BSAS_LINEA_311,COLECTIVO,BUENOS AIRES,SN,27426
2024-01-15,TRANSPORTES LA PERLITA S.A. ,BSAS_LINEA_312,COLECTIVO,BUENOS AIRES,SN,13943
2024-01-15,RUTA BUS S.A.,BSAS_LINEA_313,COLECTIVO,BUENOS AIRES,SN,2906
2024-01-15,LA PRIMERA DE MARTINEZ S.A,BSAS_LINEA_314,COLECTIVO,BUENOS AIRES,SN,31406
2024-01-15,LA PRIMERA DE GRAND BOURG S.A.,BSAS_LINEA_315,COLECTIVO,BUENOS AIRES,SN,19756
2024-01-15,LA CABAÑA S.A.,BSAS_LINEA_317,COLECTIVO,BUENOS AIRES,SN,17992
2024-01-15,MICRO OMNIBUS MITRE S.A.,BSAS_LINEA_318,COLECTIVO,BUENOS AIRES,SN,43661
2024-01-15,EMPRESA DEL OESTE SAT,BSAS_LINEA_320,COLECTIVO,BUENOS AIRES,SN,3963
2024-01-15,MICROOMNIBUS SAAVEDRA S.A.T.A.C.I.,BSAS_LINEA_321,COLECTIVO,BUENOS AIRES,SN,7005
2024-01-15,LIBERTADOR SAN MARTIN SAT,BSAS_LINEA_322,COLECTIVO,BUENOS AIRES,SN,13720
2024-01-15,COMPAÑÍA DE OMNIBUS 25 DE MAYO LINEA 278,BSAS_LINEA_323,COLECTIVO,BUENOS AIRES,SN,17163
2024-01-15,MICRO OMNIBUS PRIMERA JUNTA S.A,BSAS_LINEA_324,COLECTIVO,BUENOS AIRES,SN,80305
2024-01-15,ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I,BSAS_LINEA_325,COLECTIVO,BUENOS AIRES,SN,6730
2024-01-15,LIBERTADOR SAN MARTIN SAT,BSAS_LINEA_327,COLECTIVO,BUENOS AIRES,SN,17928
2024-01-15,TRANSPORTES VILLA BOSCH SAC el,BSAS_LINEA_328,COLECTIVO,BUENOS AIRES,SN,24656
2024-01-15,TRANSPORTES LA PERLITA S.A. ,BSAS_LINEA_329,COLECTIVO,BUENOS AIRES,SN,12884
2024-01-15,MICRO OMNIBUS GENERAL SAN MARTIN SAC,BSAS_LINEA_333A,COLECTIVO,BUENOS AIRES,SN,15970
2024-01-15,LIBERTADOR SAN MARTIN SAT,BSAS_LINEA_336,COLECTIVO,BUENOS AIRES,SN,5495
2024-01-15,TRANSPORTE AUTOMOTORES LA PLATA SA,BSAS_LINEA_338,COLECTIVO,BUENOS AIRES,SN,43051
2024-01-15,EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES,BSAS_LINEA_341,COLECTIVO,BUENOS AIRES,SN,30098
2024-01-15,COMPAÑIA NOROESTE S.A.T.,BSAS_LINEA_343,COLECTIVO,BUENOS AIRES,SN,33718
2024-01-15,RUTA BUS S.A.,BSAS_LINEA_350,COLECTIVO,BUENOS AIRES,SN,18067
2024-01-15,TRANSPORTES AUTOMOTORES  LANUS ESTE S.A.,BSAS_LINEA_354,COLECTIVO,BUENOS AIRES,SN,26525
2024-01-15,RUTA BUS S.A.,BSAS_LINEA_355,COLECTIVO,BUENOS AIRES,SN,1504
2024-01-15,LA NUEVA METROPOL S.A.,BSAS_LINEA_365,COLECTIVO,BUENOS AIRES,SN,99648
2024-01-15,SAN VICENTE S.A. DE TRANSPORTES,BSAS_LINEA_370,COLECTIVO,BUENOS AIRES,SN,13421
2024-01-15,EMPRESA CIUDAD DE SAN FERNANDO SA,BSAS_LINEA_371,COLECTIVO,BUENOS AIRES,SN,36525
2024-01-15,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,BSAS_LINEA_372,COLECTIVO,BUENOS AIRES,SN,6980
2024-01-15,GENERAL TOMAS GUIDO S.A.C.I.F.,BSAS_LINEA_373,COLECTIVO,BUENOS AIRES,SN,12849
2024-01-15,ALMAFUERTE EMPRESA DE TRANSPORTE S.A.C.I. E I,BSAS_LINEA_378,COLECTIVO,BUENOS AIRES,SN,32768
2024-01-15,EXPRESO PARQUE EL LUCERO S.A. DE TRANSPORTES,BSAS_LINEA_379,COLECTIVO,BUENOS AIRES,SN,16988
2024-01-15,NUEVO IDEAL S.A.,BSAS_LINEA_382,COLECTIVO,BUENOS AIRES,SN,13027
2024-01-15,TRANSPORTES SAN JUAN BAUTISTA S.A.,BSAS_LINEA_383,COLECTIVO,BUENOS AIRES,SN,18630
2024-01-15,GENERAL TOMAS GUIDO S.A.C.I.F.,BSAS_LINEA_384,COLECTIVO,BUENOS AIRES,SN,7350
2024-01-15,SAN VICENTE S.A. DE TRANSPORTES,BSAS_LINEA_385,COLECTIVO,BUENOS AIRES,SN,10148
2024-01-15,COMPAÑIA  DE TRANSPORTE VECINAL S.A.,BSAS_LINEA_386,COLECTIVO,BUENOS AIRES,SN,2053
